プログラミング言語,バージョン,コマンド,詳細出力,確認日時
Python,3.10.12,python -V,Python 3.10.12,2024-10-07 00:58:21
Ruby,3.3.5,ruby --version,ruby 3.3.5 (2024-09-03 revision ef084cc8f4) [x86_64-linux],2024-10-07 00:58:21
Node.js,22.9.0,node -v,v22.9.0,2024-10-07 00:58:21
Go,1.23.2,go version,go version go1.23.2 linux/amd64,2024-10-07 00:58:21
Java,19.0.2,java --version,"openjdk 19.0.2 2023-01-17 OpenJDK Runtime Environment (build 19.0.2+7-Ubuntu-0ubuntu322.04) OpenJDK 64-Bit Server VM (build 19.0.2+7-Ubuntu-0ubuntu322.04, mixed mode, sharing)",2024-10-07 00:58:21
GCC,11.4.0,gcc --version,"gcc (Ubuntu 11.4.0-1ubuntu1~22.04) 11.4.0 Copyright (C) 2021 Free Software Foundation, Inc. This is free software; see the source for copying conditions.  There is NO warranty; not even for MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE.",2024-10-07 00:58:21
G++,11.4.0,g++ --version,"g++ (Ubuntu 11.4.0-1ubuntu1~22.04) 11.4.0 Copyright (C) 2021 Free Software Foundation, Inc. This is free software; see the source for copying conditions.  There is NO warranty; not even for MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE.",2024-10-07 00:58:21
Swift,5.10.1,swift --version,Swift version 5.10.1 (swift-5.10.1-RELEASE) Target: x86_64-unknown-linux-gnu,2024-10-07 00:58:21
NASM,2.15.05,nasm -v,NASM version 2.15.05,2024-10-07 00:58:21
MCS,6.8.0,mcs --version,Mono C# compiler version 6.8.0.105,2024-10-07 00:58:22
